weekday,dep_time,n,total_dep_delay,avg_dep_delay,var,std,sme
Friday,4,63,-354,-5.619047619047619,2.2576431618944612,1.502545560671776,0.1893029470038872
Friday,5,863,-3486,-4.039397450753187,0.12404255783289116,0.35219676011129225,0.01198891714130992
Friday,6,1498,-3391,-2.2636849132176233,0.04903691053302798,0.22144279291281524,0.00572144389547056
Friday,7,1338,-1261,-0.9424514200298953,0.03927884713224424,0.19818891778362444,0.005418153559213133
Friday,8,1358,940,0.6921944035346097,0.02321536751592828,0.1523659001086801,0.004134641854685321
Friday,9,1190,3389,2.8478991596638656,0.010055161183743267,0.10027542661960241,0.0029068393970868994
Friday,10,1300,6806,5.235384615384615,8.834162055379369e-4,0.029722318306921094,8.243487898558925e-4
Friday,11,1254,7760,6.188197767145136,1.1262369198140542e-5,0.00335594535088707,9.476895937172231e-5
Friday,12,1307,7803,5.970160673297628,8.682965698297549e-5,0.009318243234804267,2.5774856074953873e-4
Friday,13,1211,9207,7.60280759702725,0.0013864729473363096,0.03723537225994,0.0010699996323946944
Friday,14,1220,13289,10.892622950819671,0.017235728650971695,0.13128491402659978,0.0037586761546085216
Friday,15,1309,12639,9.655462184873949,0.00856527443793737,0.09254876788989343,0.002558001636880576
Friday,16,1238,13005,10.504846526655896,0.014233922513887547,0.11930600367914243,0.003390798452712941
Friday,17,1428,14170,9.92296918767507,0.009156133087420418,0.09568768513983614,0.002532164667701537
Friday,18,1173,18733,15.970161977834612,0.07960440255369754,0.28214252170436405,0.00823795731938392
Friday,19,1171,16250,13.877028181041844,0.048936593255511536,0.22121616861231355,0.006464551783812613
Friday,20,1032,16149,15.648255813953488,0.08455266420481988,0.29077940815129927,0.009051567608290905
Friday,21,755,19597,25.956291390728477,0.5113816651056486,0.7151095476258506,0.026025501123882386
Friday,22,641,14294,22.29953198127925,0.3990013453846704,0.6316655328452475,0.024949288516508544
Friday,23,287,11121,38.749128919860624,3.667209966949712,1.9149960749175734,0.11303864417304303
Monday,4,48,-241,-5.020833333333333,2.6733472895951196,1.6350373970020133,0.23599732032355436
Monday,5,849,-3386,-3.988221436984688,0.12484377826111434,0.35333239061981614,0.012126336253453432
Monday,6,1457,-3565,-2.4468085106382977,0.05259425495579357,0.22933437369001963,0.006008130784375822
