"","date","carrier","flight_num","origin","dest","dest_state","sched_dep","dep","sched_arr","arr","cancelled","canc_code","distance","weekday","dep_delay","arr_delay"
"1",2017-10-08,"DL",1108,14869,10397,34,2018-11-12 08:30:00,2018-11-12 08:30:00,2018-11-12 14:13:00,2018-11-12 13:52:00,0,NA,1590,"Sunday",0,-1260
"2",2017-11-06,"UA",482,12266,10423,74,2018-11-12 07:45:00,2018-11-12 08:07:00,2018-11-12 08:46:00,2018-11-12 08:59:00,0,NA,140,"Monday",1320,780
"3",2017-12-09,"WN",1978,12191,11259,74,2018-11-12 12:00:00,2018-11-12 12:00:00,2018-11-12 13:00:00,2018-11-12 12:56:00,0,NA,239,"Saturday",0,-240
"4",2017-11-27,"B6",4,13204,12478,22,2018-11-12 08:45:00,2018-11-12 08:45:00,2018-11-12 11:12:00,2018-11-12 11:15:00,0,NA,944,"Monday",0,180
"5",2017-11-04,"UA",1838,14771,14107,81,2018-11-12 10:49:00,2018-11-12 12:02:00,2018-11-12 12:48:00,2018-11-12 14:03:00,0,NA,651,"Saturday",4380,4500
"6",2017-12-23,"WN",2593,10397,12953,22,2018-11-12 13:25:00,2018-11-12 14:17:00,2018-11-12 15:30:00,2018-11-12 16:28:00,0,NA,762,"Saturday",3120,3480
"7",2017-11-26,"DL",920,13244,10397,34,2018-11-12 12:05:00,2018-11-12 12:04:00,2018-11-12 14:27:00,2018-11-12 14:16:00,0,NA,332,"Sunday",-60,-660
"8",2017-10-27,"AA",2533,11298,11638,91,2018-11-12 11:05:00,2018-11-12 10:58:00,2018-11-12 12:33:00,2018-11-12 12:26:00,0,NA,1313,"Friday",-420,-420
"9",2017-10-09,"AA",2568,11298,10140,86,2018-11-12 19:00:00,2018-11-12 19:00:00,2018-11-12 19:55:00,2018-11-12 20:14:00,0,NA,569,"Monday",0,1140
"10",2017-12-12,"F9",1120,12889,11193,52,2018-11-12 23:47:00,2018-11-12 00:02:00,2018-11-12 06:30:00,2018-11-12 07:00:00,0,NA,1678,"Tuesday",-85500,1800
"11",2017-11-14,"AA",1243,13930,12892,91,2018-11-12 07:20:00,2018-11-12 07:22:00,2018-11-12 10:18:00,2018-11-12 09:59:00,0,NA,1745,"Tuesday",120,-1140
"12",2017-12-24,"AA",1664,12451,11057,36,2018-11-12 13:45:00,2018-11-12 13:40:00,2018-11-12 15:12:00,2018-11-12 14:52:00,0,NA,328,"Sunday",-300,-1200
"13",2017-11-08,"B6",783,10721,14492,36,2018-11-12 16:25:00,2018-11-12 16:15:00,2018-11-12 18:33:00,2018-11-12 18:13:00,0,NA,612,"Wednesday",-600,-1200
"14",2017-12-09,"AA",1918,11057,10994,37,2018-11-12 20:14:00,2018-11-12 20:39:00,2018-11-12 21:19:00,2018-11-12 21:42:00,0,NA,168,"Saturday",1500,1380
"15",2017-12-13,"OO",5222,10627,11292,82,2018-11-12 17:34:00,2018-11-12 17:18:00,2018-11-12 18:20:00,2018-11-12 17:53:00,0,NA,516,"Wednesday",-960,-1620
"16",2017-12-14,"DL",2863,10397,14747,93,2018-11-12 17:36:00,2018-11-12 18:04:00,2018-11-12 20:15:00,2018-11-12 20:20:00,0,NA,2182,"Thursday",1680,300
"17",2017-11-10,"DL",1840,11433,12889,85,2018-11-12 12:15:00,2018-11-12 12:13:00,2018-11-12 13:49:00,2018-11-12 13:40:00,0,NA,1749,"Friday",-120,-540
"18",2017-10-19,"WN",331,10693,10821,35,2018-11-12 08:50:00,2018-11-12 08:51:00,2018-11-12 11:30:00,2018-11-12 11:23:00,0,NA,587,"Thursday",60,-420
"19",2017-11-28,"OO",5262,13342,11292,82,2018-11-12 07:30:00,2018-11-12 07:23:00,2018-11-12 09:28:00,2018-11-12 09:20:00,0,NA,896,"Tuesday",-420,-480
"20",2017-12-09,"OO",3322,11259,12953,22,2018-11-12 10:27:00,2018-11-12 10:22:00,2018-11-12 14:52:00,2018-11-12 14:43:00,0,NA,1381,"Saturday",-300,-540
"21",2017-10-11,"EV",3997,10785,13930,41,2018-11-12 17:00:00,2018-11-12 16:48:00,2018-11-12 18:31:00,2018-11-12 18:16:00,0,NA,763,"Wednesday",-720,-900
"22",2017-10-03,"B6",1130,11697,10994,37,2018-11-12 18:41:00,2018-11-12 18:32:00,2018-11-12 20:23:00,2018-11-12 20:09:00,0,NA,470,"Tuesday",-540,-840
"23",2017-11-15,"DL",1715,10397,13487,63,2018-11-12 12:32:00,2018-11-12 12:26:00,2018-11-12 14:11:00,2018-11-12 13:59:00,0,NA,907,"Wednesday",-360,-720
"24",2017-11-24,"B6",1632,12954,14869,87,2018-11-12 10:46:00,2018-11-12 10:40:00,2018-11-12 13:29:00,2018-11-12 13:13:00,0,NA,588,"Friday",-360,-960
"25",2017-12-19,"UA",745,12953,11292,82,2018-11-12 14:55:00,2018-11-12 14:54:00,2018-11-12 17:27:00,2018-11-12 17:29:00,0,NA,1620,"Tuesday",-60,120
"26",2017-11-06,"F9",1701,13204,13495,72,2018-11-12 06:45:00,2018-11-12 06:39:00,2018-11-12 07:35:00,2018-11-12 07:20:00,0,NA,551,"Monday",-360,-900
"27",2017-12-21,"DL",409,13204,12478,22,2018-11-12 15:45:00,2018-11-12 15:41:00,2018-11-12 18:27:00,2018-11-12 18:19:00,0,NA,944,"Thursday",-240,-480
"28",2017-11-12,"AA",1932,11057,14107,81,2018-11-12 17:45:00,2018-11-12 17:43:00,2018-11-12 20:24:00,2018-11-12 20:19:00,0,NA,1773,"Sunday",-120,-300
"29",2017-10-15,"F9",962,14679,11109,82,2018-11-12 11:00:00,2018-11-12 10:53:00,2018-11-12 14:11:00,2018-11-12 14:01:00,0,NA,816,"Sunday",-420,-600
"30",2017-10-20,"DL",2620,14869,10397,34,2018-11-12 17:21:00,2018-11-12 17:22:00,2018-11-12 22:55:00,2018-11-12 22:55:00,0,NA,1590,"Friday",60,0
"31",2017-11-13,"AS",672,14747,11292,82,2018-11-12 09:20:00,2018-11-12 09:53:00,2018-11-12 12:54:00,2018-11-12 13:18:00,0,NA,1024,"Monday",1980,1440
"32",2017-10-14,"OO",4569,13487,10693,54,2018-11-12 17:30:00,2018-11-12 17:28:00,2018-11-12 19:41:00,2018-11-12 19:25:00,0,NA,695,"Saturday",-120,-960
"33",2017-10-16,"B6",14,12954,12478,22,2018-11-12 21:12:00,2018-11-12 21:01:00,2018-11-12 05:38:00,2018-11-12 05:10:00,0,NA,2465,"Monday",-660,-1680
"34",2017-10-08,"B6",2288,14771,12889,85,2018-11-12 06:40:00,2018-11-12 06:37:00,2018-11-12 08:12:00,2018-11-12 08:05:00,0,NA,414,"Sunday",-180,-420
"35",2017-10-03,"F9",883,15356,11057,36,2018-11-12 18:49:00,2018-11-12 19:39:00,2018-11-12 20:35:00,2018-11-12 21:06:00,0,NA,484,"Tuesday",3000,1860
"36",2017-10-20,"EV",5588,12953,10868,37,2018-11-12 20:10:00,2018-11-12 20:49:00,2018-11-12 22:28:00,2018-11-12 23:35:00,0,NA,617,"Friday",2340,4020
"37",2017-10-06,"AA",2160,11278,10721,13,2018-11-12 06:30:00,2018-11-12 06:23:00,2018-11-12 07:54:00,2018-11-12 07:47:00,0,NA,399,"Friday",-420,-420
"38",2017-12-29,"AS",18,14747,12478,22,2018-11-12 21:46:00,2018-11-12 21:50:00,2018-11-12 06:00:00,2018-11-12 05:35:00,0,NA,2422,"Friday",240,-1500
"39",2017-11-11,"OO",3201,13930,15096,22,2018-11-12 15:00:00,2018-11-12 14:53:00,2018-11-12 17:46:00,2018-11-12 17:20:00,0,NA,607,"Saturday",-420,-1560
"40",2017-12-04,"WN",1307,15016,13232,41,2018-11-12 08:25:00,2018-11-12 08:23:00,2018-11-12 09:35:00,2018-11-12 09:22:00,0,NA,251,"Monday",-120,-780
"41",2017-10-16,"DL",1329,10397,13244,54,2018-11-12 22:34:00,2018-11-12 22:33:00,2018-11-12 22:55:00,2018-11-12 22:44:00,0,NA,332,"Monday",-60,-660
"42",2017-11-06,"DL",863,11433,11697,33,2018-11-12 07:30:00,2018-11-12 07:25:00,2018-11-12 10:30:00,2018-11-12 10:09:00,0,NA,1127,"Monday",-300,-1260
"43",2017-10-27,"DL",522,13930,10397,34,2018-11-12 17:25:00,2018-11-12 17:21:00,2018-11-12 20:24:00,2018-11-12 20:15:00,0,NA,606,"Friday",-240,-540
"44",2017-12-11,"AA",2215,11298,11292,82,2018-11-12 10:48:00,2018-11-12 11:01:00,2018-11-12 11:58:00,2018-11-12 12:11:00,0,NA,641,"Monday",780,780
"45",2017-10-09,"WN",1790,10529,11697,33,2018-11-12 11:20:00,2018-11-12 11:19:00,2018-11-12 14:20:00,2018-11-12 14:03:00,0,NA,1173,"Monday",-60,-1020
"46",2017-12-06,"NK",992,13495,13930,41,2018-11-12 16:59:00,2018-11-12 16:49:00,2018-11-12 19:28:00,2018-11-12 19:11:00,0,NA,837,"Wednesday",-600,-1020
"47",2017-12-28,"AA",710,14107,13930,41,2018-11-12 11:35:00,2018-11-12 11:31:00,2018-11-12 16:10:00,2018-11-12 16:45:00,0,NA,1440,"Thursday",-240,2100
"48",2017-11-12,"OO",4944,11193,13487,63,2018-11-12 15:50:00,2018-11-12 15:43:00,2018-11-12 16:57:00,2018-11-12 16:36:00,0,NA,596,"Sunday",-420,-1260
"49",2017-10-21,"DL",413,10397,12478,22,2018-11-12 12:10:00,2018-11-12 12:04:00,2018-11-12 14:29:00,2018-11-12 14:13:00,0,NA,760,"Saturday",-360,-960
"50",2017-11-05,"DL",1564,10397,14492,36,2018-11-12 12:52:00,2018-11-12 13:01:00,2018-11-12 14:15:00,2018-11-12 14:15:00,0,NA,356,"Sunday",540,0
"51",2017-10-15,"WN",6325,14893,14747,93,2018-11-12 09:00:00,2018-11-12 08:58:00,2018-11-12 10:55:00,2018-11-12 10:47:00,0,NA,605,"Sunday",-120,-480
"52",2017-10-29,"AA",2499,13930,11278,38,2018-11-12 16:10:00,2018-11-12 16:09:00,2018-11-12 19:00:00,2018-11-12 19:12:00,0,NA,612,"Sunday",-60,720
"53",2017-10-22,"WN",6213,10721,11066,44,2018-11-12 17:50:00,2018-11-12 17:50:00,2018-11-12 20:05:00,2018-11-12 19:46:00,0,NA,640,"Sunday",0,-1140
"54",2017-10-14,"WN",2779,13796,14679,91,2018-11-12 09:15:00,2018-11-12 09:14:00,2018-11-12 10:40:00,2018-11-12 10:39:00,0,NA,446,"Saturday",-60,-60
"55",2017-10-09,"DL",1871,10397,14683,74,2018-11-12 15:59:00,2018-11-12 15:57:00,2018-11-12 17:37:00,2018-11-12 17:17:00,0,NA,874,"Monday",-120,-1200
"56",2017-11-30,"WN",401,10529,13204,33,2018-11-12 05:45:00,2018-11-12 05:42:00,2018-11-12 08:45:00,2018-11-12 08:29:00,0,NA,1050,"Thursday",-180,-960
"57",2017-10-18,"AA",2159,10721,11278,38,2018-11-12 06:00:00,2018-11-12 05:55:00,2018-11-12 07:39:00,2018-11-12 07:18:00,0,NA,399,"Wednesday",-300,-1260
"58",2017-12-23,"OO",5238,10785,13930,41,2018-11-12 13:20:00,2018-11-12 13:55:00,2018-11-12 15:03:00,2018-11-12 15:59:00,0,NA,763,"Saturday",2100,3360
"59",2017-11-02,"WN",469,12889,11292,82,2018-11-12 20:00:00,2018-11-12 19:57:00,2018-11-12 22:50:00,2018-11-12 22:27:00,0,NA,628,"Thursday",-180,-1380
"60",2017-12-29,"WN",4679,15304,14492,36,2018-11-12 17:40:00,2018-11-12 17:39:00,2018-11-12 19:20:00,2018-11-12 19:19:00,0,NA,587,"Friday",-60,-60
"61",2017-12-04,"NK",214,12889,11298,74,2018-11-12 01:10:00,2018-11-12 01:05:00,2018-11-12 05:41:00,2018-11-12 05:16:00,0,NA,1055,"Monday",-300,-1500
"62",2017-11-28,"EV",2835,11298,12448,53,2018-11-12 12:15:00,2018-11-12 12:05:00,2018-11-12 13:35:00,2018-11-12 13:29:00,0,NA,408,"Tuesday",-600,-360
"63",2017-12-07,"AA",2073,14100,14307,15,2018-11-12 13:25:00,2018-11-12 13:19:00,2018-11-12 14:32:00,2018-11-12 14:27:00,0,NA,237,"Thursday",-360,-300
"64",2017-12-31,"DL",859,11433,11697,33,2018-11-12 15:50:00,2018-11-12 15:49:00,2018-11-12 19:04:00,2018-11-12 18:41:00,0,NA,1127,"Sunday",-60,-1380
"65",2017-11-17,"UA",1437,11618,11298,74,2018-11-12 18:10:00,2018-11-12 20:36:00,2018-11-12 21:09:00,2018-11-12 23:09:00,0,NA,1372,"Friday",8760,7200
"66",2017-12-14,"OO",5306,11292,10713,83,2018-11-12 07:47:00,2018-11-12 07:39:00,2018-11-12 10:04:00,2018-11-12 10:06:00,0,NA,649,"Thursday",-480,120
"67",2017-11-10,"WN",1882,12892,14893,91,2018-11-12 07:25:00,2018-11-12 07:27:00,2018-11-12 08:50:00,2018-11-12 08:41:00,0,NA,373,"Friday",120,-540
"68",2017-11-12,"NK",791,11618,13577,37,2018-11-12 13:40:00,2018-11-12 13:32:00,2018-11-12 15:30:00,2018-11-12 15:22:00,0,NA,550,"Sunday",-480,-480
"69",2017-12-07,"AA",1509,13303,10721,13,2018-11-12 06:55:00,2018-11-12 06:51:00,2018-11-12 10:05:00,2018-11-12 09:43:00,0,NA,1258,"Thursday",-240,-1320
"70",2017-11-08,"WN",1843,11066,13204,33,2018-11-12 05:50:00,2018-11-12 05:53:00,2018-11-12 08:10:00,2018-11-12 07:55:00,0,NA,802,"Wednesday",180,-900
"71",2017-12-20,"WN",6153,10529,13204,33,2018-11-12 13:05:00,2018-11-12 13:16:00,2018-11-12 16:00:00,2018-11-12 16:13:00,0,NA,1050,"Wednesday",660,780
"72",2017-12-24,"EV",5602,14633,10397,34,2018-11-12 06:15:00,2018-11-12 06:13:00,2018-11-12 09:50:00,2018-11-12 09:43:00,0,NA,831,"Sunday",-120,-420
"73",2017-12-22,"WN",6794,13158,12191,74,2018-11-12 13:05:00,2018-11-12 13:19:00,2018-11-12 14:25:00,2018-11-12 14:43:00,0,NA,441,"Friday",840,1080
"74",2017-11-06,"WN",337,11278,10693,54,2018-11-12 06:15:00,2018-11-12 06:58:00,2018-11-12 07:15:00,2018-11-12 07:47:00,0,NA,562,"Monday",2580,1920
"75",2017-10-11,"F9",261,11292,14908,91,2018-11-12 08:25:00,2018-11-12 08:19:00,2018-11-12 09:52:00,2018-11-12 09:53:00,0,NA,846,"Wednesday",-360,60
"76",2017-12-14,"OO",5678,11292,15376,81,2018-11-12 15:20:00,2018-11-12 15:19:00,2018-11-12 17:19:00,2018-11-12 17:09:00,0,NA,639,"Thursday",-60,-600
"77",2017-10-01,"F9",438,11292,13342,45,2018-11-12 15:24:00,2018-11-12 15:23:00,2018-11-12 18:45:00,2018-11-12 18:35:00,0,NA,896,"Sunday",-60,-600
"78",2017-10-20,"WN",411,10821,10693,54,2018-11-12 16:10:00,2018-11-12 16:05:00,2018-11-12 17:00:00,2018-11-12 16:43:00,0,NA,587,"Friday",-300,-1020
